
 Variables , 1970 , 1980 , 1990 , 1991 , 1992 , 1993 , 1994 , 1995 , 1996 , 1997 , 1998 , 1999 , 2000 , 2001 , 2002 , 2003 , 2004 , 2005 , 2006 , 2007 , 2008 , 2009 , 2010 , 2011 , 2012 , 2013 , 2014 , 2015 , 2016 , 2017 , 2018 ,
 Total Citizen ," 1,874,778 "," 2,194,280 "," 2,623,736 "," 2,664,625 "," 2,702,430 "," 2,742,826 "," 2,784,168 "," 2,823,707 "," 2,860,419 "," 2,894,794 "," 2,929,731 "," 2,958,379 "," 2,985,886 "," 3,017,092 "," 3,043,397 "," 3,032,541 "," 3,057,087 "," 3,081,001 "," 3,107,924 "," 3,133,848 "," 3,164,438 "," 3,200,693 "," 3,230,719 "," 3,257,228 "," 3,285,140 "," 3,313,507 "," 3,343,030 "," 3,375,023 "," 3,408,943 "," 3,439,177 "," 3,471,936 ",
     0 - 4 Years ," 226,454 "," 183,210 "," 219,067 "," 228,811 "," 237,499 "," 239,726 "," 237,272 "," 237,483 "," 233,723 "," 230,711 "," 226,217 "," 217,384 "," 209,701 "," 205,233 "," 197,439 "," 188,466 "," 181,980 "," 174,799 "," 167,717 "," 164,881 "," 164,314 "," 166,511 "," 167,225 "," 165,503 "," 165,250 "," 165,161 "," 165,477 "," 167,850 "," 172,328 "," 173,301 "," 172,621 ",
     5 - 9 Years ," 267,122 "," 213,775 "," 198,516 "," 198,547 "," 197,004 "," 202,397 "," 215,044 "," 221,079 "," 231,303 "," 240,417 "," 242,730 "," 240,213 "," 239,691 "," 236,110 "," 233,349 "," 226,758 "," 218,622 "," 213,012 "," 209,169 "," 201,967 "," 195,111 "," 190,054 "," 183,948 "," 176,893 "," 174,649 "," 174,459 "," 175,633 "," 176,018 "," 174,769 "," 175,308 "," 175,796 ",
     10 - 14 Years ," 273,014 "," 224,112 "," 191,808 "," 193,588 "," 194,030 "," 198,203 "," 198,698 "," 201,197 "," 200,735 "," 199,048 "," 204,223 "," 216,614 "," 222,591 "," 232,821 "," 242,037 "," 243,046 "," 240,294 "," 239,894 "," 236,544 "," 233,841 "," 230,418 "," 223,230 "," 218,520 "," 214,947 "," 207,846 "," 200,724 "," 195,240 "," 188,794 "," 181,745 "," 179,983 "," 180,222 ",
     15 - 19 Years ," 227,001 "," 264,927 "," 217,727 "," 212,689 "," 208,069 "," 199,079 "," 194,718 "," 194,141 "," 196,162 "," 196,752 "," 200,822 "," 200,692 "," 202,842 "," 201,787 "," 199,878 "," 204,105 "," 216,215 "," 222,410 "," 232,769 "," 242,388 "," 244,782 "," 242,808 "," 243,141 "," 240,098 "," 237,919 "," 234,254 "," 226,912 "," 222,394 "," 219,247 "," 212,409 "," 205,723 ",
     20 - 24 Years ," 175,775 "," 264,370 "," 230,311 "," 221,998 "," 218,685 "," 219,778 "," 220,820 "," 219,294 "," 214,316 "," 209,782 "," 200,733 "," 196,291 "," 195,765 "," 197,575 "," 197,944 "," 197,943 "," 198,290 "," 201,131 "," 200,710 "," 199,307 "," 204,764 "," 217,901 "," 224,539 "," 235,112 "," 244,809 "," 247,427 "," 245,488 "," 245,523 "," 242,395 "," 240,312 "," 237,046 ",
     25 - 29 Years ," 102,974 "," 222,280 "," 275,477 "," 271,145 "," 264,285 "," 255,311 "," 242,956 "," 232,884 "," 225,207 "," 222,067 "," 223,478 "," 224,069 "," 222,180 "," 216,895 "," 211,999 "," 199,942 "," 195,635 "," 195,249 "," 197,324 "," 198,089 "," 202,276 "," 203,328 "," 205,322 "," 204,269 "," 202,645 "," 207,915 "," 220,716 "," 227,690 "," 238,534 "," 248,107 "," 250,958 ",
     30 - 34 Years ," 112,188 "," 183,267 "," 284,011 "," 287,075 "," 286,176 "," 285,023 "," 283,442 "," 279,257 "," 275,007 "," 268,000 "," 259,349 "," 247,213 "," 236,905 "," 229,436 "," 226,645 "," 224,235 "," 225,061 "," 223,235 "," 218,395 "," 214,037 "," 206,084 "," 203,431 "," 203,855 "," 205,957 "," 207,243 "," 211,704 "," 211,985 "," 214,822 "," 214,768 "," 212,528 "," 217,874 ",
     35 - 39 Years ," 99,402 "," 113,943 "," 243,492 "," 254,619 "," 265,506 "," 274,459 "," 281,488 "," 286,858 "," 290,099 "," 289,216 "," 288,099 "," 286,232 "," 281,850 "," 277,447 "," 270,516 "," 258,327 "," 246,616 "," 237,397 "," 230,941 "," 229,007 "," 231,185 "," 233,803 "," 233,281 "," 228,830 "," 225,063 "," 216,722 "," 213,574 "," 214,398 "," 217,479 "," 219,050 "," 224,625 ",
