year,level_1,value
1960,Crude Death Rate,6.2
1960,Age-standardised Death Rate,10.8
1961,Crude Death Rate,5.9
1961,Age-standardised Death Rate,10.6
1962,Crude Death Rate,5.8
1962,Age-standardised Death Rate,10.6
1963,Crude Death Rate,5.6
1963,Age-standardised Death Rate,10.5
1964,Crude Death Rate,5.7
1964,Age-standardised Death Rate,10.5
1965,Crude Death Rate,5.4
1965,Age-standardised Death Rate,10.4
1966,Crude Death Rate,5.4
1966,Age-standardised Death Rate,10.2
1967,Crude Death Rate,5.3
1967,Age-standardised Death Rate,10.3
1968,Crude Death Rate,5.5
1968,Age-standardised Death Rate,10.4
1969,Crude Death Rate,5
1969,Age-standardised Death Rate,9.6
1970,Crude Death Rate,5.2
1970,Age-standardised Death Rate,9.1
1971,Crude Death Rate,5.4
1971,Age-standardised Death Rate,9.2
1972,Crude Death Rate,5.4
1972,Age-standardised Death Rate,8.9
1973,Crude Death Rate,5.4
1973,Age-standardised Death Rate,8.9
1974,Crude Death Rate,5.2
1974,Age-standardised Death Rate,8.7
1975,Crude Death Rate,5.1
1975,Age-standardised Death Rate,8.4
1976,Crude Death Rate,5.1
1976,Age-standardised Death Rate,8.3
1977,Crude Death Rate,5.1
1977,Age-standardised Death Rate,8.3
1978,Crude Death Rate,5.1
1978,Age-standardised Death Rate,8
1979,Crude Death Rate,5.2
1979,Age-standardised Death Rate,8.1
1980,Crude Death Rate,4.9
1980,Age-standardised Death Rate,7.5
1981,Crude Death Rate,4.9
1981,Age-standardised Death Rate,7.4
1982,Crude Death Rate,4.9
1982,Age-standardised Death Rate,7.2
1983,Crude Death Rate,5
1983,Age-standardised Death Rate,7.2
1984,Crude Death Rate,4.8
1984,Age-standardised Death Rate,6.8
1985,Crude Death Rate,4.9
1985,Age-standardised Death Rate,6.7
1986,Crude Death Rate,4.6
1986,Age-standardised Death Rate,6.2
1987,Crude Death Rate,4.7
1987,Age-standardised Death Rate,6.1
1988,Crude Death Rate,4.9
1988,Age-standardised Death Rate,6.1
1989,Crude Death Rate,4.9
1989,Age-standardised Death Rate,6.1
1990,Crude Death Rate,4.7
1990,Age-standardised Death Rate,5.9
1991,Crude Death Rate,4.6
1991,Age-standardised Death Rate,5.7
1992,Crude Death Rate,4.7
1992,Age-standardised Death Rate,5.7
1993,Crude Death Rate,4.6
1993,Age-standardised Death Rate,5.5
1994,Crude Death Rate,4.7
1994,Age-standardised Death Rate,5.5
1995,Crude Death Rate,4.8
1995,Age-standardised Death Rate,5.5
1996,Crude Death Rate,4.7
1996,Age-standardised Death Rate,5.4
1997,Crude Death Rate,4.5
1997,Age-standardised Death Rate,5.1
1998,Crude Death Rate,4.6
1998,Age-standardised Death Rate,5
1999,Crude Death Rate,4.5
1999,Age-standardised Death Rate,4.9
2000,Crude Death Rate,4.5
2000,Age-standardised Death Rate,4.8
2001,Crude Death Rate,4.3
2001,Age-standardised Death Rate,4.5
2002,Crude Death Rate,4.4
2002,Age-standardised Death Rate,4.4
2003,Crude Death Rate,4.5
2003,Age-standardised Death Rate,4.5
2004,Crude Death Rate,4.4
2004,Age-standardised Death Rate,4.2
2005,Crude Death Rate,4.4
2005,Age-standardised Death Rate,4.1
2006,Crude Death Rate,4.4
2006,Age-standardised Death Rate,4
2007,Crude Death Rate,4.5
2007,Age-standardised Death Rate,3.9
2008,Crude Death Rate,4.4
2008,Age-standardised Death Rate,3.8
2009,Crude Death Rate,4.3
2009,Age-standardised Death Rate,3.6
2010,Crude Death Rate,4.4
2010,Age-standardised Death Rate,3.5
2011,Crude Death Rate,4.5
2011,Age-standardised Death Rate,3.4
2012,Crude Death Rate,4.5
2012,Age-standardised Death Rate,3.3
2013,Crude Death Rate,4.6
2013,Age-standardised Death Rate,3.3
2014,Crude Death Rate,4.7
2014,Age-standardised Death Rate,3.2
2015,Crude Death Rate,4.8
2015,Age-standardised Death Rate,3.1
2016,Crude Death Rate,4.8
2016,Age-standardised Death Rate,3
2017,Crude Death Rate,5
2017,Age-standardised Death Rate,3
