year,level_1,value
1960,Maternal Mortality Rate,44.7
1961,Maternal Mortality Rate,39.5
1962,Maternal Mortality Rate,38.5
1963,Maternal Mortality Rate,34.8
1964,Maternal Mortality Rate,40.7
1965,Maternal Mortality Rate,39
1966,Maternal Mortality Rate,48.8
1967,Maternal Mortality Rate,31.3
1968,Maternal Mortality Rate,39.8
1969,Maternal Mortality Rate,37.8
1970,Maternal Mortality Rate,32.3
1971,Maternal Mortality Rate,21
1972,Maternal Mortality Rate,35.9
1973,Maternal Mortality Rate,14.4
1974,Maternal Mortality Rate,18.3
1975,Maternal Mortality Rate,29.8
1976,Maternal Mortality Rate,13.9
1977,Maternal Mortality Rate,15.5
1978,Maternal Mortality Rate,20.1
1979,Maternal Mortality Rate,7.3
1980,Maternal Mortality Rate,4.8
1981,Maternal Mortality Rate,4.7
1982,Maternal Mortality Rate,11.6
1983,Maternal Mortality Rate,14.7
1984,Maternal Mortality Rate,12
1985,Maternal Mortality Rate,4.7
1986,Maternal Mortality Rate,13
1987,Maternal Mortality Rate,6.8
1988,Maternal Mortality Rate,11.3
1989,Maternal Mortality Rate,4.2
1990,Maternal Mortality Rate,1.9
1991,Maternal Mortality Rate,4.1
1992,Maternal Mortality Rate,4
1993,Maternal Mortality Rate,7.9
1994,Maternal Mortality Rate,6
1995,Maternal Mortality Rate,4.1
1996,Maternal Mortality Rate,4.1
1997,Maternal Mortality Rate,4.2
1998,Maternal Mortality Rate,13.7
1999,Maternal Mortality Rate,9.2
2000,Maternal Mortality Rate,17
2001,Maternal Mortality Rate,9.6
2002,Maternal Mortality Rate,12.2
2003,Maternal Mortality Rate,5.3
2004,Maternal Mortality Rate,5.4
2005,Maternal Mortality Rate,13.3
2006,Maternal Mortality Rate,10.4
2007,Maternal Mortality Rate,7.6
2008,Maternal Mortality Rate,7.5
2009,Maternal Mortality Rate,0
2010,Maternal Mortality Rate,2.6
2011,Maternal Mortality Rate,7.5
2012,Maternal Mortality Rate,2.3
2013,Maternal Mortality Rate,2.5
2014,Maternal Mortality Rate,2.4
2015,Maternal Mortality Rate,7.1
2016,Maternal Mortality Rate,4.8
