year,level_1,value
1960,Perinatal Mortality Rate,27.9
1961,Perinatal Mortality Rate,26.2
1962,Perinatal Mortality Rate,26.7
1963,Perinatal Mortality Rate,26.4
1964,Perinatal Mortality Rate,26.1
1965,Perinatal Mortality Rate,25.5
1966,Perinatal Mortality Rate,24.6
1967,Perinatal Mortality Rate,24.4
1968,Perinatal Mortality Rate,23.2
1969,Perinatal Mortality Rate,21.7
1970,Perinatal Mortality Rate,21.5
1971,Perinatal Mortality Rate,21
1972,Perinatal Mortality Rate,20.5
1973,Perinatal Mortality Rate,20
1974,Perinatal Mortality Rate,18.1
1975,Perinatal Mortality Rate,16.6
1976,Perinatal Mortality Rate,14.7
1977,Perinatal Mortality Rate,16.1
1978,Perinatal Mortality Rate,15.2
1979,Perinatal Mortality Rate,14.9
1980,Perinatal Mortality Rate,13.4
1981,Perinatal Mortality Rate,12.6
1982,Perinatal Mortality Rate,13
1983,Perinatal Mortality Rate,10.6
1984,Perinatal Mortality Rate,10.4
1985,Perinatal Mortality Rate,10.8
1986,Perinatal Mortality Rate,10.2
1987,Perinatal Mortality Rate,9.1
1988,Perinatal Mortality Rate,7.3
1989,Perinatal Mortality Rate,7.9
1990,Perinatal Mortality Rate,7.3
1991,Perinatal Mortality Rate,6.4
1992,Perinatal Mortality Rate,5.7
1993,Perinatal Mortality Rate,5.5
1994,Perinatal Mortality Rate,5.1
1995,Perinatal Mortality Rate,4.3
1996,Perinatal Mortality Rate,4.5
1997,Perinatal Mortality Rate,4.4
1998,Perinatal Mortality Rate,4.9
1999,Perinatal Mortality Rate,4.2
2000,Perinatal Mortality Rate,4.3
2001,Perinatal Mortality Rate,3.5
2002,Perinatal Mortality Rate,3.9
2003,Perinatal Mortality Rate,3.6
2004,Perinatal Mortality Rate,3.8
2005,Perinatal Mortality Rate,3.8
2006,Perinatal Mortality Rate,3.8
2007,Perinatal Mortality Rate,3.1
2008,Perinatal Mortality Rate,3.1
2009,Perinatal Mortality Rate,3.2
2010,Perinatal Mortality Rate,3.5
2011,Perinatal Mortality Rate,3.9
2012,Perinatal Mortality Rate,3.6
2013,Perinatal Mortality Rate,2.8
2014,Perinatal Mortality Rate,2.9
2015,Perinatal Mortality Rate,2.8
2016,Perinatal Mortality Rate,3
