year,level_1,value
1990,Consultation Fees At Polyclinics & General Practitioners,50.966
1990,Medical & Dental Treatment,41.955
1990,Petrol,na
1990,Overall Bus And Train Fares,65.628
1990,Taxi Fares,54.292
1990,Miscellaneous Fees For Primary Schools,31.61
1990,School And Miscelleanous Fees For Secondary Schools & Junior Colleges,32.378
1990,Tuition Fees For Polytechnics & Local Universities,37.452
1991,Consultation Fees At Polyclinics & General Practitioners,57.641
1991,Medical & Dental Treatment,47.241
1991,Petrol,na
1991,Overall Bus And Train Fares,76.586
1991,Taxi Fares,59.797
1991,Miscellaneous Fees For Primary Schools,39.512
1991,School And Miscelleanous Fees For Secondary Schools & Junior Colleges,40.996
1991,Tuition Fees For Polytechnics & Local Universities,44.079
1992,Consultation Fees At Polyclinics & General Practitioners,58.931
1992,Medical & Dental Treatment,48.952
1992,Petrol,na
1992,Overall Bus And Train Fares,76.586
1992,Taxi Fares,59.797
1992,Miscellaneous Fees For Primary Schools,44.649
1992,School And Miscelleanous Fees For Secondary Schools & Junior Colleges,44.876
1992,Tuition Fees For Polytechnics & Local Universities,51.437
1993,Consultation Fees At Polyclinics & General Practitioners,61.391
1993,Medical & Dental Treatment,51.331
1993,Petrol,na
1993,Overall Bus And Train Fares,76.583
1993,Taxi Fares,59.797
1993,Miscellaneous Fees For Primary Schools,46.526
1993,School And Miscelleanous Fees For Secondary Schools & Junior Colleges,45.81
1993,Tuition Fees For Polytechnics & Local Universities,54.716
1994,Consultation Fees At Polyclinics & General Practitioners,63.603
1994,Medical & Dental Treatment,53.33
1994,Petrol,na
1994,Overall Bus And Train Fares,77.321
1994,Taxi Fares,61.989
1994,Miscellaneous Fees For Primary Schools,47.351
1994,School And Miscelleanous Fees For Secondary Schools & Junior Colleges,48.308
1994,Tuition Fees For Polytechnics & Local Universities,56.931
1995,Consultation Fees At Polyclinics & General Practitioners,64.097
1995,Medical & Dental Treatment,54.374
1995,Petrol,na
1995,Overall Bus And Train Fares,78.542
1995,Taxi Fares,63.555
1995,Miscellaneous Fees For Primary Schools,48.215
1995,School And Miscelleanous Fees For Secondary Schools & Junior Colleges,48.965
1995,Tuition Fees For Polytechnics & Local Universities,59.486
1996,Consultation Fees At Polyclinics & General Practitioners,66.181
1996,Medical & Dental Treatment,56.017
1996,Petrol,na
1996,Overall Bus And Train Fares,80.635
1996,Taxi Fares,64.368
1996,Miscellaneous Fees For Primary Schools,48.902
1996,School And Miscelleanous Fees For Secondary Schools & Junior Colleges,48.992
1996,Tuition Fees For Polytechnics & Local Universities,62.901
1997,Consultation Fees At Polyclinics & General Practitioners,70.163
1997,Medical & Dental Treatment,58.698
1997,Petrol,na
1997,Overall Bus And Train Fares,84.336
1997,Taxi Fares,65.763
1997,Miscellaneous Fees For Primary Schools,49.021
1997,School And Miscelleanous Fees For Secondary Schools & Junior Colleges,49.041
1997,Tuition Fees For Polytechnics & Local Universities,66.582
1998,Consultation Fees At Polyclinics & General Practitioners,75.299
1998,Medical & Dental Treatment,61.912
1998,Petrol,na
1998,Overall Bus And Train Fares,86.988
1998,Taxi Fares,66.344
1998,Miscellaneous Fees For Primary Schools,49.021
1998,School And Miscelleanous Fees For Secondary Schools & Junior Colleges,49.839
1998,Tuition Fees For Polytechnics & Local Universities,70.631
1999,Consultation Fees At Polyclinics & General Practitioners,76.836
1999,Medical & Dental Treatment,62.331
1999,Petrol,na
1999,Overall Bus And Train Fares,86.988
1999,Taxi Fares,65.734
1999,Miscellaneous Fees For Primary Schools,77.053
1999,School And Miscelleanous Fees For Secondary Schools & Junior Colleges,62.877
1999,Tuition Fees For Polytechnics & Local Universities,72.554
2000,Consultation Fees At Polyclinics & General Practitioners,78.254
2000,Medical & Dental Treatment,63.4
2000,Petrol,63.756
2000,Overall Bus And Train Fares,88.793
2000,Taxi Fares,68.171
2000,Miscellaneous Fees For Primary Schools,77.053
2000,School And Miscelleanous Fees For Secondary Schools & Junior Colleges,63.649
2000,Tuition Fees For Polytechnics & Local Universities,72.554
2001,Consultation Fees At Polyclinics & General Practitioners,79.752
2001,Medical & Dental Treatment,65.777
2001,Petrol,61.951
2001,Overall Bus And Train Fares,90.884
2001,Taxi Fares,69.855
2001,Miscellaneous Fees For Primary Schools,77.053
2001,School And Miscelleanous Fees For Secondary Schools & Junior Colleges,63.942
2001,Tuition Fees For Polytechnics & Local Universities,74.308
2002,Consultation Fees At Polyclinics & General Practitioners,80.251
2002,Medical & Dental Treatment,68.176
2002,Petrol,56.792
2002,Overall Bus And Train Fares,93.558
2002,Taxi Fares,69.589
2002,Miscellaneous Fees For Primary Schools,77.053
2002,School And Miscelleanous Fees For Secondary Schools & Junior Colleges,63.989
2002,Tuition Fees For Polytechnics & Local Universities,76.061
2003,Consultation Fees At Polyclinics & General Practitioners,80.588
2003,Medical & Dental Treatment,69.596
2003,Petrol,58.67
2003,Overall Bus And Train Fares,95.43
2003,Taxi Fares,68.781
2003,Miscellaneous Fees For Primary Schools,77.053
2003,School And Miscelleanous Fees For Secondary Schools & Junior Colleges,64.016
2003,Tuition Fees For Polytechnics & Local Universities,76.061
